"Player","Team","Position","Value","Position Rank",
"Justin Jefferson","MIN","WR","$76","WR1",
"Ja'Marr Chase","CIN","WR","$68","WR2",
"Christian McCaffrey","SF","RB","$64","RB1",
"Austin Ekeler","LAC","RB","$60","RB2",
"Cooper Kupp","LAR","WR","$60","WR3",
"Tyreek Hill","MIA","WR","$60","WR4",
"Travis Kelce","KC","TE","$59","TE1",
"Stefon Diggs","BUF","WR","$51","WR5",
"Davante Adams","LV","WR","$50","WR6",
"Bijan Robinson","ATL","RB","$49","RB3",
"Amon-Ra St. Brown","DET","WR","$49","WR7",
"CeeDee Lamb","DAL","WR","$47","WR8",
"Tony Pollard","DAL","RB","$46","RB4",
"A.J. Brown","PHI","WR","$45","WR9",
"Saquon Barkley","NYG","RB","$44","RB5",
"Jaylen Waddle","MIA","WR","$43","WR10",
"Garrett Wilson","NYJ","WR","$42","WR11",
"Nick Chubb","CLE","RB","$41","RB6",
"Derrick Henry","TEN","RB","$37","RB7",
"Mark Andrews","BAL","TE","$37","TE2",
"Tee Higgins","CIN","WR","$36","WR12",
"Chris Olave","NO","WR","$35","WR13",
"Josh Jacobs","LV","RB","$34","RB8",
"Devonta Smith","PHI","WR","$33","WR14",
"Jalen Hurts","PHI","QB","$32","QB1",
"Josh Allen","BUF","QB","$32","QB2",
"Jahmyr Gibbs","DET","RB","$31","RB9",
"Keenan Allen","LAC","WR","$30","WR15",
"Jonathan Taylor","IND","RB","$30","RB10",
"Deebo Samuel","SF","WR","$29","WR16",
"Calvin Ridley","JAX","WR","$28","WR17",
"Rhamondre Stevenson","NE","RB","$28","RB11",
"DK Metcalf","SEA","WR","$27","WR18",
"DeAndre Hopkins","TEN","WR","$27","WR19",
"Patrick Mahomes","KC","QB","$27","QB3",
"Travis Etienne","JAX","RB","$26","RB12",
"Joe Mixon","CIN","RB","$26","RB13",
"Breece Hall","NYJ","RB","$26","RB14",
"Amari Cooper","CLE","WR","$25","WR20",
"T.J. Hockenson","MIN","TE","$25","TE3",
"Mike Williams","LAC","WR","$24","WR21",
"Kenneth Walker","SEA","RB","$24","RB15",
"Lamar Jackson","BAL","QB","$23","QB4",
"Alexander Mattison","MIN","RB","$23","RB16",
"Aaron Jones","GB","RB","$23","RB17",
