"Player","Team","Position","Value","Position Rank",
"Justin Jefferson","MIN","WR","$75","WR1",
"Ja'Marr Chase","CIN","WR","$67","WR2",
"Christian McCaffrey","SF","RB","$64","RB1",
"Cooper Kupp","LAR","WR","$60","WR3",
"Austin Ekeler","LAC","RB","$60","RB2",
"Tyreek Hill","MIA","WR","$59","WR4",
"Travis Kelce","KC","TE","$57","TE1",
"Stefon Diggs","BUF","WR","$52","WR5",
"Davante Adams","LV","WR","$50","WR6",
"Amon-Ra St. Brown","DET","WR","$49","WR7",
"Bijan Robinson","ATL","RB","$49","RB3",
"CeeDee Lamb","DAL","WR","$47","WR8",
"Tony Pollard","DAL","RB","$46","RB4",
"A.J. Brown","PHI","WR","$45","WR9",
"Saquon Barkley","NYG","RB","$44","RB5",
"Jaylen Waddle","MIA","WR","$42","WR10",
"Garrett Wilson","NYJ","WR","$41","WR11",
"Nick Chubb","CLE","RB","$40","RB6",
"Derrick Henry","TEN","RB","$38","RB7",
"Mark Andrews","BAL","TE","$37","TE2",
"Tee Higgins","CIN","WR","$36","WR12",
"Chris Olave","NO","WR","$34","WR13",
"Devonta Smith","PHI","WR","$33","WR14",
"Jalen Hurts","PHI","QB","$33","QB1",
"Josh Jacobs","LV","RB","$32","RB8",
"Josh Allen","BUF","QB","$31","QB2",
"Jahmyr Gibbs","DET","RB","$31","RB9",
"Keenan Allen","LAC","WR","$30","WR15",
"Jonathan Taylor","IND","RB","$29","RB10",
"Deebo Samuel","SF","WR","$29","WR16",
"Calvin Ridley","JAX","WR","$28","WR17",
"Rhamondre Stevenson","NE","RB","$28","RB11",
"DeAndre Hopkins","TEN","WR","$27","WR18",
"Patrick Mahomes","KC","QB","$26","QB3",
"DK Metcalf","SEA","WR","$26","WR19",
"Travis Etienne","JAX","RB","$26","RB12",
"T.J. Hockenson","MIN","TE","$26","TE3",
"Joe Mixon","CIN","RB","$26","RB13",
"Amari Cooper","CLE","WR","$25","WR20",
"Mike Williams","LAC","WR","$24","WR21",
"Jerry Jeudy","DEN","WR","$24","WR22",
"Kenneth Walker","SEA","RB","$24","RB14",
"Alexander Mattison","MIN","RB","$23","RB15",
"Aaron Jones","GB","RB","$23","RB16",
"Christian Kirk","JAX","WR","$23","WR23",
"Lamar Jackson","BAL","QB","$22","QB4",
"Najee Harris","PIT","RB","$22","RB17",
"Breece Hall","NYJ","RB","$22","RB18",
"Drake London","ATL","WR","$20","WR24",
"Joe Burrow","CIN","QB","$20","QB5",
"Terry McLaurin","WAS","WR","$19","WR25",
"Chris Godwin","TB","WR","$18","WR26",
"Christian Watson","GB","WR","$18","WR27",
"Darren Waller","NYG","TE","$17","TE4",
"Dameon Pierce","HOU","RB","$17","RB19",
"George Kittle","SF","TE","$16","TE5",
"Marquise Brown","ARI","WR","$16","WR28",
"Diontae Johnson","PIT","WR","$16","WR29",
"Cam Akers","LAR","RB","$15","RB20",
"D.J. Moore","CHI","WR","$15","WR30",
"Brandon Aiyuk","SF","WR","$15","WR31",
"Miles Sanders","CAR","RB","$14","RB21",
"Javonte Williams","DEN","RB","$14","RB22",
"J.K. Dobbins","BAL","RB","$14","RB23",
"Dallas Goedert","PHI","TE","$13","TE6",
"Justin Fields","CHI","QB","$13","QB6",
"Kyle Pitts","ATL","TE","$13","TE7",
"Jaxon Smith-Njigba","SEA","WR","$13","WR32",
"Justin Herbert","LAC","QB","$13","QB7",
"David Montgomery","DET","RB","$12","RB24",
"Jordan Addison","MIN","WR","$12","WR33",
"Tyler Lockett","SEA","WR","$11","WR34",
"James Cook","BUF","RB","$11","RB25",
"Mike Evans","TB","WR","$11","WR35",
"Michael Pittman","IND","WR","$11","WR36",
"Dalvin Cook","NYJ","RB","$10","RB26",
"Rachaad White","TB","RB","$10","RB27",
"Alvin Kamara","NO","RB","$9","RB28",
"Brandin Cooks","DAL","WR","$9","WR37",
"D'Andre Swift","PHI","RB","$9","RB29",
"Quentin Johnston","LAC","WR","$8","WR38",
"Kadarius Toney","KC","WR","$8","WR53",
"Deshaun Watson","CLE","QB","$7","QB8",
"Evan Engram","JAX","TE","$7","TE8",
"Pat Freiermuth","PIT","TE","$7","TE9",
"George Pickens","PIT","WR","$6","WR39",
"Gabe Davis","BUF","WR","$6","WR40",
"Trevor Lawrence","JAX","QB","$6","QB9",
"Jahan Dotson","WAS","WR","$5","WR41",
"Isiah Pacheco","KC","RB","$5","RB30",
"James Conner","ARI","RB","$5","RB31",
"Treylon Burks","TEN","WR","$5","WR42",
"Antonio Gibson","WAS","RB","$5","RB32",
"Rashod Bateman","BAL","WR","$4","WR51",
"Courtland Sutton","DEN","WR","$3","WR43",
"Zay Flowers","BAL","WR","$3","WR44",
"A.J. Dillon","GB","RB","$3","RB33",
"Samaje Perine","DEN","RB","$3","RB34",
"David Njoku","CLE","TE","$3","TE10",
"Zach Charbonnet","SEA","RB","$3","RB35",
"Daniel Jones","NYG","QB","$3","QB10",
"JuJu Smith-Schuster","NE","WR","$3","WR45",
"Jakobi Meyers","LV","WR","$3","WR46",
"Dalton Schultz","HOU","TE","$3","TE11",
"Elijah Moore","CLE","WR","$3","WR47",
"Tyler Boyd","CIN","WR","$3","WR48",
"Tua Tagovailoa","MIA","QB","$3","QB11",
"Zay Jones","JAX","WR","$3","WR50",
"Kirk Cousins","MIN","QB","$3","QB12",
"Rashaad Penny","PHI","RB","$3","RB38",
"Brian Robinson","WAS","RB","$3","RB39",
"Dak Prescott","DAL","QB","$3","QB14",
"De'Von Achane","MIA","RB","$3","RB41",
"Nico Collins","HOU","WR","$3","WR54",
"Allen Lazard","NYJ","WR","$3","WR55",
"Elijah Mitchell","SF","RB","$3","RB43",
"Rondale Moore","ARI","WR","$3","WR64",
"Jaylen Warren","PIT","RB","$2","RB36",
"Skyy Moore","KC","WR","$2","WR49",
"Khalil Herbert","CHI","RB","$2","RB37",
"Anthony Richardson","IND","QB","$2","QB13",
"Jerick McKinnon","KC","RB","$2","RB40",
"Tyler Higbee","LAR","TE","$2","TE12",
"Damien Harris","BUF","RB","$2","RB42",
"Dalton Kincaid","BUF","TE","$2","TE13",
"Chigoziem Okonkwo","TEN","TE","$2","TE14",
"Tank Bigsby","JAX","RB","$2","RB44",
"Gerald Everett","LAC","TE","$2","TE15",
"Romeo Doubs","GB","WR","$2","WR56",
"Geno Smith","SEA","QB","$2","QB15",
"D.J. Chark","CAR","WR","$2","WR57",
"Darnell Mooney","CHI","WR","$2","WR58",
"Aaron Rodgers","NYJ","QB","$2","QB16",
"Odell Beckham","BAL","WR","$2","WR60",
"Adam Thielen","CAR","WR","$2","WR61",
"Greg Dulcich","DEN","TE","$2","TE20",
"Marquez Valdes-Scantling","KC","WR","$2","WR62",
"Jonathan Mingo","CAR","WR","$2","WR66",
"Michael Gallup","DAL","WR","$2","WR69",
"Jamaal Williams","NO","RB","$2","RB49",
"Tyler Allgeier","ATL","RB","$2","RB50",
"Roschon Johnson","CHI","RB","$2","RB52",
"Jameson Williams","DET","WR","$2","WR72",
"Michael Thomas","NO","WR","$1","WR52",
"Sam LaPorta","DET","TE","$1","TE16",
"Irv Smith","CIN","TE","$1","TE17",
"Van Jefferson","LAR","WR","$1","WR59",
"Jake Ferguson","DAL","TE","$1","TE18",
"Dawson Knox","BUF","TE","$1","TE19",
"Raheem Mostert","MIA","RB","$1","RB45",
"K.J. Osborn","MIN","WR","$1","WR63",
"Dallas Cowboys","DAL","DST","$1","DST1",
"Rashee Rice","KC","WR","$1","WR65",
"Jeffery Wilson","MIA","RB","$1","RB46",
"Devin Singletary","HOU","RB","$1","RB47",
"Marvin Mims","DEN","WR","$1","WR67",
"Hayden Hurst","CAR","TE","$1","TE21",
"Jayden Reed","GB","WR","$1","WR68",
"San Francisco 49ers","SF","DST","$1","DST2",
"Kenneth Gainwell","PHI","RB","$1","RB48",
"Luke Musgrave","GB","TE","$1","TE22",
"Hunter Renfrow","LV","WR","$1","WR70",
"Tyjae Spears","TEN","RB","$1","RB51",
"Justin Tucker","BAL","K","$1","K1",
"Philadelphia Eagles","PHI","DST","$1","DST3",
"Leonard Fournette","FA","RB","$1","RB53",
"Cole Kmet","CHI","TE","$1","TE23",
"Chuba Hubbard","CAR","RB","$1","RB54",
"Jerome Ford","CLE","RB","$1","RB55",
"Curtis Samuel","WAS","WR","$1","WR71",
"Jared Goff","DET","QB","$1","QB17",
"Russell Wilson","DEN","QB","$1","QB18",
"Isaiah Hodgins","NYG","WR","$1","WR73",
"Juwan Johnson","NO","TE","$1","TE24",
"Hunter Henry","NE","TE","$1","TE25",
"Evan McPherson","CIN","K","$1","K2",
"Younghoe Koo","ATL","K","$1","K3",
"Tyler Bass","BUF","K","$1","K4",
"Jason Myers","SEA","K","$1","K5",
"Buffalo Bills","BUF","DST","$1","DST4",
"Kendre Miller","NO","RB","$1","RB56",
"Harrison Butker","KC","K","$1","K6",
"New England Patriots","NE","DST","$1","DST5",
"Wil Lutz","NO","K","$1","K8",
"Donovan Peoples-Jones","CLE","WR","$1","WR74",
"Dustin Hopkins","LAC","K","$1","K9",
"Brandon McManus","JAX","K","$1","K10",
"Washington Commanders","WAS","DST","$1","DST6",
"Daniel Carlson","LV","K","$1","K12",
"Tyler Conklin","NYJ","TE","$1","TE26",
"Los Angeles Chargers","LAC","DST","$1","DST7",
"Mecole Hardman","NYJ","WR","$1","WR75",
"Cleveland Browns","CLE","DST","$1","DST8",
"Jacksonville Jaguars","JAX","DST","$1","DST9",
"New Orleans Saints","NO","DST","$1","DST10",
"Baltimore Ravens","BAL","DST","$1","DST11",
"Kansas City Chiefs","KC","DST","$1","DST12",
"New York Jets","NYJ","DST","$1","DST13",
"Denver Broncos","DEN","DST","$1","DST14",
"Kyler Murray","ARI","QB","$1","QB23",
"Riley Patterson","DET","K","$0","K7",
"Jake Moody","SF","K","$0","K11",
"Kareem Hunt","FA","RB","$0","RB57",
"Jake Elliott","PHI","K","$0","K13",
"Greg Joseph","MIN","K","$0","K14",
"Cairo Santos","CHI","K","$0","K15",
"Brett Maher","DEN","K","$0","K16",
"Jason Sanders","MIA","K","$0","K17",
"Joshua Kelley","LAC","RB","$0","RB58",
"Kenny Pickett","PIT","QB","$0","QB19",
"Cade York","CLE","K","$0","K18",
"Chris Boswell","PIT","K","$0","K19",
"Greg Zuerlein","NYJ","K","$0","K20",
"D'Onta Foreman","CHI","RB","$0","RB59",
"Nick Folk","NE","K","$0","K21",
"Ezekiel Elliott","NE","RB","$0","RB60",
"Graham Gano","NYG","K","$0","K22",
"Clyde Edwards-Helaire","KC","RB","$0","RB61",
"Matt Gay","IND","K","$0","K23",
"Rashid Shaheed","NO","WR","$0","WR76",
"Tanner Brown","LAR","K","$0","K24",
"Ty Chandler","MIN","RB","$0","RB62",
"Eddy Pineiro","CAR","K","$0","K25",
"Anders Carlson","GB","K","$0","K26",
"Trey McBride","ARI","TE","$0","TE27",
"Michael Mayer","LV","TE","$0","TE28",
"Alec Pierce","IND","WR","$0","WR77",
"Joey Slye","WAS","K","$0","K27",
"Chase McLaughlin","TB","K","$0","K28",
"Noah Fant","SEA","TE","$0","TE29",
"Ka'imi Fairbairn","HOU","K","$0","K29",
"Matt Prater","ARI","K","$0","K30",
"Caleb Shudak","TEN","K","$0","K31",
"Derek Carr","NO","QB","$0","QB20",
"Tennessee Titans","TEN","DST","$0","DST15",
"Atlanta Falcons","ATL","DST","$0","DST16",
"Jalin Hyatt","NYG","WR","$0","WR78",
"Detroit Lions","DET","DST","$0","DST17",
"Chase Brown","CIN","RB","$0","RB63",
"Pittsburgh Steelers","PIT","DST","$0","DST18",
"Jimmy Garoppolo","LV","QB","$0","QB21",
"Miami Dolphins","MIA","DST","$0","DST19",
"Darius Slayton","NYG","WR","$0","WR79",
"Mike Gesicki","NE","TE","$0","TE30",
"New York Giants","NYG","DST","$0","DST20",
"Green Bay Packers","GB","DST","$0","DST21",
"Carolina Panthers","CAR","DST","$0","DST22",
"Cincinnati Bengals","CIN","DST","$0","DST23",
"Tampa Bay Buccaneers","TB","DST","$0","DST24",
"Indianapolis Colts","IND","DST","$0","DST25",
"Matthew Stafford","LAR","QB","$0","QB22",
"DeVante Parker","NE","WR","$0","WR80",
"Houston Texans","HOU","DST","$0","DST26",
"Seattle Seahawks","SEA","DST","$0","DST27",
"Richie James","KC","WR","$0","WR81",
"Gus Edwards","BAL","RB","$0","RB64",
"Las Vegas Raiders","LV","DST","$0","DST28",
"Minnesota Vikings","MIN","DST","$0","DST29",
"Josh Downs","IND","WR","$0","WR82",
"Brandon Aubrey","DAL","K","$0","K32",
"Brock Purdy","SF","QB","$0","QB24",
"Ryan Tannehill","TEN","QB","$0","QB25",
"Los Angeles Rams","LAR","DST","$0","DST30",
"Taysom Hill","NO","TE","$0","TE31",
"Zamir White","LV","RB","$0","RB65",
"Corey Davis","NYJ","WR","$0","WR83",
"Bryce Young","CAR","QB","$0","QB26",
"Cade Otton","TB","TE","$0","TE32",
"Jordan Love","GB","QB","$0","QB27",
"John Metchie","HOU","WR","$0","WR84",
"Allen Robinson","PIT","WR","$0","WR85",
"Chase Claypool","CHI","WR","$0","WR86",
"Michael Wilson","ARI","WR","$0","WR87",
"Cordarrelle Patterson","ATL","RB","$0","RB66",
"Isaiah Likely","BAL","TE","$0","TE33",
"Nathaniel Dell","HOU","WR","$0","WR88",
"Robert Woods","HOU","WR","$0","WR89",
"Arizona Cardinals","ARI","DST","$0","DST31",
"Tutu Atwell","LAR","WR","$0","WR90",
"Chicago Bears","CHI","DST","$0","DST32",
"Kyren Williams","LAR","RB","$0","RB67",
"Josh Palmer","LAC","WR","$0","WR91",
"Mac Jones","NE","QB","$0","QB28",
"Parris Campbell","NYG","WR","$0","WR92",
"Zach Ertz","ARI","TE","$0","TE34",
"Trayveon Williams","CIN","RB","$0","RB68",
"C.J. Stroud","HOU","QB","$0","QB29",
"Latavius Murray","BUF","RB","$0","RB69",
"Kendrick Bourne","NE","WR","$0","WR93",
"Tyquan Thornton","NE","WR","$0","WR94",
"Deuce Vaughn","DAL","RB","$0","RB70",
"Keaontay Ingram","ARI","RB","$0","RB71",
"Marvin Jones","DET","WR","$0","WR95",
"Sam Howell","WAS","QB","$0","QB30",
"Chris Rodriguez","WAS","RB","$0","RB72",
"Chase Edmonds","TB","RB","$0","RB73",
"DeWayne McBride","MIN","RB","$0","RB74",
"Wan'Dale Robinson","NYG","WR","$0","WR96",
"Josh Reynolds","DET","WR","$0","WR97",
"Terrace Marshall","CAR","WR","$0","WR98",
