"Player","Team","Position","Tier","Pos Rank"
"Jalen Hurts","PHI","QB","1","QB01"
"Josh Allen","BUF","QB","1","QB02"
"Lamar Jackson","BAL","QB","1","QB03"
"Patrick Mahomes","KC","QB","1","QB04"
"Justin Fields","CHI","QB","1","QB05"
"Christian McCaffrey","SF","RB","1","RB01"
"Austin Ekeler","LAC","RB","1","RB02"
"Tony Pollard","DAL","RB","1","RB03"
"Nick Chubb","CLE","RB","1","RB04"
"Saquon Barkley","NYG","RB","1","RB05"
"Bijan Robinson","ATL","RB","1","RB06"
"Travis Kelce","KC","TE","1","TE01"
"Justin Jefferson","MIN","WR","1","WR01"
"Ja'Marr Chase","CIN","WR","1","WR02"
"Tyreek Hill","MIA","WR","1","WR03"
"Cooper Kupp","LAR","WR","1","WR04"
"Joe Burrow","CIN","QB","2","QB06"
"Justin Herbert","LAC","QB","2","QB07"
"Josh Jacobs","LV","RB","2","RB07"
"Derrick Henry","TEN","RB","2","RB08"
"Rhamondre Stevenson","NE","RB","2","RB09"
"Alexander Mattison","MIN","RB","2","RB10"
"Mark Andrews","BAL","TE","2","TE02"
"T.J. Hockenson","MIN","TE","2","TE03"
"George Kittle","SF","TE","2","TE04"
"Dallas Goedert","PHI","TE","2","TE05"
"Kyle Pitts","ATL","TE","2","TE06"
"Stefon Diggs","BUF","WR","2","WR05"
"CeeDee Lamb","DAL","WR","2","WR06"
"A.J. Brown","PHI","WR","2","WR07"
"Davante Adams","LV","WR","2","WR08"
"Deshaun Watson","CLE","QB","3","QB08"
"Trevor Lawrence","JAX","QB","3","QB09"
"Geno Smith","SEA","QB","3","QB10"
"Dak Prescott","DAL","QB","3","QB11"
"Anthony Richardson","IND","QB","3","QB12"
"Daniel Jones","NYG","QB","3","QB13"
"Kenneth Walker","SEA","RB","3","RB11"
"Aaron Jones","GB","RB","3","RB12"
"Jahmyr Gibbs","DET","RB","3","RB13"
"Travis Etienne","JAX","RB","3","RB14"
"Joe Mixon","CIN","RB","3","RB15"
"Darren Waller","NYG","TE","3","TE07"
"Evan Engram","JAX","TE","3","TE08"
"Pat Freiermuth","PIT","TE","3","TE09"
"David Njoku","CLE","TE","3","TE10"
"Amon-Ra St. Brown","DET","WR","3","WR09"
"Jaylen Waddle","MIA","WR","3","WR10"
"Garrett Wilson","NYJ","WR","3","WR11"
"Chris Olave","NO","WR","3","WR12"
"DK Metcalf","SEA","WR","3","WR13"
"Kirk Cousins","MIN","QB","4","QB14"
"Tua Tagovailoa","MIA","QB","4","QB15"
"Aaron Rodgers","NYJ","QB","4","QB16"
"Jared Goff","DET","QB","4","QB17"
"J.K. Dobbins","BAL","RB","4","RB16"
"Najee Harris","PIT","RB","4","RB17"
"Miles Sanders","CAR","RB","4","RB18"
"Dameon Pierce","HOU","RB","4","RB19"
"Cam Akers","LAR","RB","4","RB20"
"Breece Hall","NYJ","RB","4","RB21"
"Alvin Kamara","NO","RB","4","RB22"
"Jonathan Taylor","IND","RB","4","RB23"
"Dalvin Cook","NYJ","RB","4","RB24"
"James Conner","ARI","RB","4","RB25"
"Rachaad White","TB","RB","4","RB26"
"Tyler Higbee","LAR","TE","4","TE11"
"Chigoziem Okonkwo","TEN","TE","4","TE12"
"Juwan Johnson","NO","TE","4","TE13"
"Tee Higgins","CIN","WR","4","WR14"
"Deebo Samuel","SF","WR","4","WR15"
"DeVonta Smith","PHI","WR","4","WR16"
"Calvin Ridley","JAX","WR","4","WR17"
"Mike Williams","LAC","WR","4","WR18"
"Tyler Lockett","SEA","WR","4","WR19"
"DJ Moore","CHI","WR","4","WR20"
"David Montgomery","DET","RB","5","RB27"
"Isiah Pacheco","KC","RB","5","RB28"
"D'Andre Swift","PHI","RB","5","RB29"
"Rashaad Penny","PHI","RB","5","RB30"
"Amari Cooper","CLE","WR","5","WR21"
"Keenan Allen","LAC","WR","5","WR22"
"Christian Watson","GB","WR","5","WR23"
"Christian Kirk","JAX","WR","5","WR24"
"Diontae Johnson","PIT","WR","5","WR25"
"Terry McLaurin","WAS","WR","5","WR26"
"Samaje Perine","DEN","RB","6","RB31"
"Antonio Gibson","WAS","RB","6","RB32"
"James Cook","BUF","RB","6","RB33"
"Javonte Williams","DEN","RB","6","RB34"
"Marquise Brown","ARI","WR","6","WR27"
"DeAndre Hopkins","TEN","WR","6","WR28"
"Drake London","ATL","WR","6","WR29"
"Brandon Aiyuk","SF","WR","6","WR30"
"Chris Godwin","TB","WR","6","WR31"
"Treylon Burks","TEN","WR","6","WR32"
"Jerry Jeudy","DEN","WR","6","WR33"
"Brandin Cooks","DAL","WR","6","WR34"
"Mike Evans","TB","WR","6","WR35"
"Gabe Davis","BUF","WR","6","WR36"
"George Pickens","PIT","WR","6","WR37"
"Jahan Dotson","WAS","WR","6","WR38"
"Michael Pittman","IND","WR","6","WR39"
"Khalil Herbert","CHI","RB","7","RB35"
"Jamaal Williams","NO","RB","7","RB36"
"Jerick McKinnon","KC","RB","7","RB37"
"Devon Achane","MIA","RB","7","RB41"
"Jordan Addison","MIN","WR","7","WR40"
"Quentin Johnston","LAC","WR","7","WR41"
"Jaxon Smith-Njigba","SEA","WR","7","WR42"
"Michael Thomas","NO","WR","7","WR43"
"Rashod Bateman","BAL","WR","7","WR44"
"Courtland Sutton","DEN","WR","7","WR45"
"Zay Flowers","BAL","WR","7","WR46"
"Marvin Mims","DEN","WR","7","WR47"
"Michael Gallup","DAL","WR","7","WR48"
"Jakobi Meyers","LV","WR","7","WR49"
"JuJu Smith-Schuster","NE","WR","7","WR50"
"Elijah Moore","CLE","WR","7","WR51"
"Allen Lazard","NYJ","WR","7","WR52"
"Skyy Moore","KC","WR","7","WR53"
"Kadarius Toney","KC","WR","7","WR54"
"Tank Bigsby","JAX","RB","8","RB38"
"Kenneth Gainwell","PHI","RB","8","RB39"
"Elijah Mitchell","SF","RB","8","RB40"
"AJ Dillon","GB","RB","8","RB42"
"Tyler Allgeier","ATL","RB","8","RB43"
"Damien Harris","BUF","RB","8","RB44"
"Ty Chandler","MIN","RB","8","RB45"
"Brian Robinson","WAS","RB","8","RB46"
"Zach Charbonnet","SEA","RB","8","RB47"
"Jaylen Warren","PIT","RB","8","RB48"
"Gus Edwards","BAL","RB","8","RB49"
"Raheem Mostert","MIA","RB","8","RB50"
"Jeff Wilson","MIA","RB","8","RB51"
"Roschon Johnson","CHI","RB","8","RB52"
"Ezekiel Elliott","NE","RB","8","RB53"
"Tyler Boyd","CIN","WR","8","WR55"
"Odell Beckham","BAL","WR","8","WR56"
"Rashee Rice","KC","WR","8","WR57"
"Jonathan Mingo","CAR","WR","8","WR58"
"Zay Jones","JAX","WR","8","WR59"
"Darnell Mooney","CHI","WR","8","WR60"
"Curtis Samuel","WAS","WR","8","WR61"
"Nathaniel Dell","HOU","WR","8","WR62"
"Rondale Moore","ARI","WR","8","WR63"
"Donovan Peoples-Jones","CLE","WR","8","WR64"
"Jayden Reed","GB","WR","8","WR65"
"Leonard Fournette","FA","RB","9","RB54"
"Trayveon Williams","CIN","RB","9","RB55"
