"Player","Team","Position","Value","Position Rank",
"Justin Jefferson","MIN","WR","$76","WR1",
"Ja'Marr Chase","CIN","WR","$69","WR2",
"Christian McCaffrey","SF","RB","$65","RB1",
"Cooper Kupp","LAR","WR","$61","WR3",
"Austin Ekeler","LAC","RB","$61","RB2",
"Tyreek Hill","MIA","WR","$60","WR4",
"Travis Kelce","KC","TE","$59","TE1",
"Stefon Diggs","BUF","WR","$52","WR5",
"Davante Adams","LV","WR","$51","WR6",
"Bijan Robinson","ATL","RB","$50","RB3",
"Amon-Ra St. Brown","DET","WR","$49","WR7",
"CeeDee Lamb","DAL","WR","$48","WR8",
"Tony Pollard","DAL","RB","$46","RB4",
"A.J. Brown","PHI","WR","$46","WR9",
"Saquon Barkley","NYG","RB","$45","RB5",
"Jaylen Waddle","MIA","WR","$43","WR10",
"Garrett Wilson","NYJ","WR","$43","WR11",
"Nick Chubb","CLE","RB","$40","RB6",
"Derrick Henry","TEN","RB","$38","RB7",
"Mark Andrews","BAL","TE","$37","TE2",
"Tee Higgins","CIN","WR","$36","WR12",
"Josh Jacobs","LV","RB","$35","RB8",
"Chris Olave","NO","WR","$35","WR13",
"Devonta Smith","PHI","WR","$33","WR14",
"Jalen Hurts","PHI","QB","$33","QB1",
"Josh Allen","BUF","QB","$32","QB2",
"Jahmyr Gibbs","DET","RB","$32","RB9",
"Keenan Allen","LAC","WR","$31","WR15",
"Deebo Samuel","SF","WR","$29","WR16",
"Rhamondre Stevenson","NE","RB","$28","RB10",
"Calvin Ridley","JAX","WR","$28","WR17",
"Patrick Mahomes","KC","QB","$27","QB3",
"DK Metcalf","SEA","WR","$27","WR18",
"Travis Etienne","JAX","RB","$27","RB11",
"DeAndre Hopkins","TEN","WR","$26","WR19",
"Joe Mixon","CIN","RB","$26","RB12",
"Breece Hall","NYJ","RB","$26","RB13",
"Amari Cooper","CLE","WR","$26","WR20",
"T.J. Hockenson","MIN","TE","$25","TE3",
"Mike Williams","LAC","WR","$25","WR21",
"Kenneth Walker","SEA","RB","$24","RB14",
"Lamar Jackson","BAL","QB","$24","QB4",
"Alexander Mattison","MIN","RB","$23","RB15",
"Aaron Jones","GB","RB","$23","RB16",
"Christian Kirk","JAX","WR","$23","WR22",
"Najee Harris","PIT","RB","$22","RB17",
"Joe Burrow","CIN","QB","$20","QB5",
"Drake London","ATL","WR","$20","WR23",
"Dameon Pierce","HOU","RB","$19","RB18",
"Chris Godwin","TB","WR","$18","WR24",
"Christian Watson","GB","WR","$18","WR25",
"Darren Waller","NYG","TE","$17","TE4",
"J.K. Dobbins","BAL","RB","$17","RB19",
"George Kittle","SF","TE","$16","TE5",
"Diontae Johnson","PIT","WR","$16","WR26",
"Terry McLaurin","WAS","WR","$16","WR27",
"Javonte Williams","DEN","RB","$15","RB20",
"D.J. Moore","CHI","WR","$15","WR28",
"Brandon Aiyuk","SF","WR","$14","WR29",
"Marquise Brown","ARI","WR","$14","WR30",
"James Cook","BUF","RB","$14","RB21",
"Justin Fields","CHI","QB","$14","QB6",
"Dallas Goedert","PHI","TE","$13","TE6",
"Kyle Pitts","ATL","TE","$13","TE7",
"Miles Sanders","CAR","RB","$13","RB22",
"Cam Akers","LAR","RB","$13","RB23",
"Tyler Lockett","SEA","WR","$13","WR31",
"Justin Herbert","LAC","QB","$12","QB7",
"Jordan Addison","MIN","WR","$12","WR32",
"David Montgomery","DET","RB","$12","RB24",
"Michael Pittman","IND","WR","$11","WR33",
"Mike Evans","TB","WR","$11","WR34",
"Jerry Jeudy","DEN","WR","$11","WR35",
"Jonathan Taylor","IND","RB","$10","RB25",
"Jaxon Smith-Njigba","SEA","WR","$10","WR37",
"D'Andre Swift","PHI","RB","$10","RB26",
"Rachaad White","TB","RB","$10","RB27",
"Alvin Kamara","NO","RB","$10","RB28",
"Brandin Cooks","DAL","WR","$9","WR38",
"Dalvin Cook","NYJ","RB","$9","RB29",
"Quentin Johnston","LAC","WR","$8","WR43",
"Kadarius Toney","KC","WR","$8","WR52",
"Pat Freiermuth","PIT","TE","$7","TE8",
"Evan Engram","JAX","TE","$7","TE9",
"George Pickens","PIT","WR","$6","WR39",
"Gabe Davis","BUF","WR","$6","WR41",
"Deshaun Watson","CLE","QB","$6","QB8",
"Isiah Pacheco","KC","RB","$6","RB30",
"Jahan Dotson","WAS","WR","$5","WR36",
"Antonio Gibson","WAS","RB","$5","RB31",
"Trevor Lawrence","JAX","QB","$5","QB9",
"Treylon Burks","TEN","WR","$5","WR44",
"James Conner","ARI","RB","$5","RB32",
"Rashod Bateman","BAL","WR","$4","WR53",
"Courtland Sutton","DEN","WR","$3","WR40",
"Zay Flowers","BAL","WR","$3","WR42",
"A.J. Dillon","GB","RB","$3","RB33",
"Samaje Perine","DEN","RB","$3","RB34",
"David Njoku","CLE","TE","$3","TE10",
"Daniel Jones","NYG","QB","$3","QB10",
"Zach Charbonnet","SEA","RB","$3","RB35",
"Brian Robinson","WAS","RB","$3","RB36",
"Khalil Herbert","CHI","RB","$3","RB37",
"JuJu Smith-Schuster","NE","WR","$3","WR45",
"Tua Tagovailoa","MIA","QB","$3","QB11",
"Jakobi Meyers","LV","WR","$3","WR46",
"Tyler Boyd","CIN","WR","$3","WR48",
"Elijah Moore","CLE","WR","$3","WR49",
"Zay Jones","JAX","WR","$3","WR51",
"Kirk Cousins","MIN","QB","$3","QB13",
"Allen Lazard","NYJ","WR","$3","WR54",
"Dak Prescott","DAL","QB","$3","QB14",
"Nico Collins","HOU","WR","$3","WR55",
"Dalton Schultz","HOU","TE","$3","TE13",
"Elijah Mitchell","SF","RB","$3","RB40",
"De'Von Achane","MIA","RB","$3","RB42",
"Rashaad Penny","PHI","RB","$3","RB48",
"Rondale Moore","ARI","WR","$3","WR66",
"Jaylen Warren","PIT","RB","$2","RB38",
"Skyy Moore","KC","WR","$2","WR47",
"Dalton Kincaid","BUF","TE","$2","TE11",
"Anthony Richardson","IND","QB","$2","QB12",
"Jerick McKinnon","KC","RB","$2","RB39",
"Tyler Higbee","LAR","TE","$2","TE12",
"Chigoziem Okonkwo","TEN","TE","$2","TE14",
"Tank Bigsby","JAX","RB","$2","RB41",
"Gerald Everett","LAC","TE","$2","TE15",
"Geno Smith","SEA","QB","$2","QB15",
"Romeo Doubs","GB","WR","$2","WR56",
"Greg Dulcich","DEN","TE","$2","TE17",
"Darnell Mooney","CHI","WR","$2","WR57",
"Damien Harris","BUF","RB","$2","RB44",
"Odell Beckham","BAL","WR","$2","WR59",
"Aaron Rodgers","NYJ","QB","$2","QB16",
"Marquez Valdes-Scantling","KC","WR","$2","WR60",
"D.J. Chark","CAR","WR","$2","WR64",
"Adam Thielen","CAR","WR","$2","WR65",
"Tyler Allgeier","ATL","RB","$2","RB49",
"Jonathan Mingo","CAR","WR","$2","WR67",
"Michael Gallup","DAL","WR","$2","WR68",
"Jamaal Williams","NO","RB","$2","RB50",
"Roschon Johnson","CHI","RB","$2","RB51",
"Jameson Williams","DET","WR","$2","WR73",
"Michael Thomas","NO","WR","$1","WR50",
"Sam LaPorta","DET","TE","$1","TE16",
"Kenneth Gainwell","PHI","RB","$1","RB43",
"Irv Smith","CIN","TE","$1","TE18",
"Raheem Mostert","MIA","RB","$1","RB45",
"Jake Ferguson","DAL","TE","$1","TE19",
"Jayden Reed","GB","WR","$1","WR58",
"Juwan Johnson","NO","TE","$1","TE20",
"Tyjae Spears","TEN","RB","$1","RB46",
"Luke Musgrave","GB","TE","$1","TE21",
"Dawson Knox","BUF","TE","$1","TE22",
"Van Jefferson","LAR","WR","$1","WR61",
"Marvin Mims","DEN","WR","$1","WR62",
"Jeffery Wilson","MIA","RB","$1","RB47",
"K.J. Osborn","MIN","WR","$1","WR63",
"Dallas Cowboys","DAL","DST","$1","DST1",
"Hayden Hurst","CAR","TE","$1","TE23",
"Curtis Samuel","WAS","WR","$1","WR69",
"San Francisco 49ers","SF","DST","$1","DST2",
"Devin Singletary","HOU","RB","$1","RB52",
"Rashee Rice","KC","WR","$1","WR70",
"Hunter Renfrow","LV","WR","$1","WR71",
"Justin Tucker","BAL","K","$1","K1",
"Philadelphia Eagles","PHI","DST","$1","DST3",
"Cole Kmet","CHI","TE","$1","TE24",
"Kendre Miller","NO","RB","$1","RB53",
"Isaiah Hodgins","NYG","WR","$1","WR72",
"Jared Goff","DET","QB","$1","QB17",
"Hunter Henry","NE","TE","$1","TE25",
"Chuba Hubbard","CAR","RB","$1","RB54",
"Russell Wilson","DEN","QB","$1","QB18",
"Mecole Hardman","NYJ","WR","$1","WR74",
"Ty Chandler","MIN","RB","$1","RB55",
"Evan McPherson","CIN","K","$1","K2",
"Younghoe Koo","ATL","K","$1","K3",
"Tyler Bass","BUF","K","$1","K4",
"Jason Myers","SEA","K","$1","K5",
"Buffalo Bills","BUF","DST","$1","DST4",
"Harrison Butker","KC","K","$1","K6",
"New England Patriots","NE","DST","$1","DST5",
"Alec Pierce","IND","WR","$1","WR75",
"Wil Lutz","DEN","K","$1","K7",
"Kyren Williams","LAR","RB","$1","RB56",
"Brandon McManus","JAX","K","$1","K10",
"Washington Commanders","WAS","DST","$1","DST6",
"Daniel Carlson","LV","K","$1","K12",
"Tyler Conklin","NYJ","TE","$1","TE26",
"Los Angeles Chargers","LAC","DST","$1","DST7",
"Cleveland Browns","CLE","DST","$1","DST8",
"Jacksonville Jaguars","JAX","DST","$1","DST9",
"New Orleans Saints","NO","DST","$1","DST10",
"Baltimore Ravens","BAL","DST","$1","DST11",
"Kansas City Chiefs","KC","DST","$1","DST12",
"New York Jets","NYJ","DST","$1","DST13",
"Denver Broncos","DEN","DST","$1","DST14",
"Brock Purdy","SF","QB","$1","QB24",
"Jordan Love","GB","QB","$1","QB26",
"Kyler Murray","ARI","QB","$1","QB28",
"Riley Patterson","DET","K","$0","K8",
"Clyde Edwards-Helaire","KC","RB","$0","RB57",
"Donovan Peoples-Jones","CLE","WR","$0","WR76",
"Cameron Dicker","LAC","K","$0","K9",
"Ezekiel Elliott","NE","RB","$0","RB58",
"Jake Moody","SF","K","$0","K11",
"Kareem Hunt","FA","RB","$0","RB59",
"Blake Grupe","NO","K","$0","K13",
"Jake Elliott","PHI","K","$0","K14",
"Greg Joseph","MIN","K","$0","K15",
"Cairo Santos","CHI","K","$0","K16",
"Kenny Pickett","PIT","QB","$0","QB19",
"Jason Sanders","MIA","K","$0","K17",
"Joshua Kelley","LAC","RB","$0","RB60",
"Rashid Shaheed","NO","WR","$0","WR77",
"Cade York","CLE","K","$0","K18",
"Chris Boswell","PIT","K","$0","K19",
"Greg Zuerlein","NYJ","K","$0","K20",
"Chad Ryland","NE","K","$0","K21",
"Graham Gano","NYG","K","$0","K22",
"Sam Howell","WAS","QB","$0","QB20",
"Jerome Ford","CLE","RB","$0","RB61",
"Matt Gay","IND","K","$0","K23",
"Tanner Brown","LAR","K","$0","K24",
"Eddy Pineiro","CAR","K","$0","K25",
"Anders Carlson","GB","K","$0","K26",
"Trey McBride","ARI","TE","$0","TE27",
"Leonard Fournette","FA","RB","$0","RB62",
"Michael Mayer","LV","TE","$0","TE28",
"Jalin Hyatt","NYG","WR","$0","WR78",
"Joey Slye","WAS","K","$0","K27",
"Chase McLaughlin","TB","K","$0","K28",
"Ka'imi Fairbairn","HOU","K","$0","K29",
"Derek Carr","NO","QB","$0","QB21",
"Michael Wilson","ARI","WR","$0","WR79",
"Matt Prater","ARI","K","$0","K30",
"Nick Folk","TEN","K","$0","K31",
"Noah Fant","SEA","TE","$0","TE29",
"Chris Evans","CIN","RB","$0","RB63",
"Tennessee Titans","TEN","DST","$0","DST15",
"Atlanta Falcons","ATL","DST","$0","DST16",
"Darius Slayton","NYG","WR","$0","WR80",
"Mike Gesicki","NE","TE","$0","TE30",
"Detroit Lions","DET","DST","$0","DST17",
"Pittsburgh Steelers","PIT","DST","$0","DST18",
"Miami Dolphins","MIA","DST","$0","DST19",
"Jimmy Garoppolo","LV","QB","$0","QB22",
"New York Giants","NYG","DST","$0","DST20",
"Green Bay Packers","GB","DST","$0","DST21",
"Carolina Panthers","CAR","DST","$0","DST22",
"Cincinnati Bengals","CIN","DST","$0","DST23",
"Tampa Bay Buccaneers","TB","DST","$0","DST24",
"DeVante Parker","NE","WR","$0","WR81",
"Indianapolis Colts","IND","DST","$0","DST25",
"Matthew Stafford","LAR","QB","$0","QB23",
"D'Onta Foreman","CHI","RB","$0","RB64",
"Houston Texans","HOU","DST","$0","DST26",
"Seattle Seahawks","SEA","DST","$0","DST27",
"Gus Edwards","BAL","RB","$0","RB65",
"Josh Downs","IND","WR","$0","WR82",
"Las Vegas Raiders","LV","DST","$0","DST28",
"Josh Palmer","LAC","WR","$0","WR83",
"Minnesota Vikings","MIN","DST","$0","DST29",
"Taysom Hill","NO","TE","$0","TE31",
"Brandon Aubrey","DAL","K","$0","K32",
"Ryan Tannehill","TEN","QB","$0","QB25",
"Los Angeles Rams","LAR","DST","$0","DST30",
"Pierre Strong","CLE","RB","$0","RB66",
"Cade Otton","TB","TE","$0","TE32",
"Nathaniel Dell","HOU","WR","$0","WR84",
"Allen Robinson","PIT","WR","$0","WR85",
"Bryce Young","CAR","QB","$0","QB27",
"Sean Tucker","TB","RB","$0","RB67",
"Chase Claypool","CHI","WR","$0","WR86",
"Evan Hull","IND","RB","$0","RB68",
"Zamir White","LV","RB","$0","RB69",
"Wan'Dale Robinson","NYG","WR","$0","WR87",
"Isaiah Likely","BAL","TE","$0","TE33",
"Robert Woods","HOU","WR","$0","WR88",
"Tutu Atwell","LAR","WR","$0","WR89",
"Arizona Cardinals","ARI","DST","$0","DST31",
"Cordarrelle Patterson","ATL","RB","$0","RB70",
"Mac Jones","NE","QB","$0","QB29",
"Chicago Bears","CHI","DST","$0","DST32",
"Parris Campbell","NYG","WR","$0","WR90",
"Kendrick Bourne","NE","WR","$0","WR91",
"Zach Ertz","ARI","TE","$0","TE34",
"Keaontay Ingram","ARI","RB","$0","RB71",
"Richie James","KC","WR","$0","WR92",
"C.J. Stroud","HOU","QB","$0","QB30",
"John Metchie","HOU","WR","$0","WR93",
"Latavius Murray","BUF","RB","$0","RB72",
"Chase Brown","CIN","RB","$0","RB73",
"Deuce Vaughn","DAL","RB","$0","RB74",
"Deon Jackson","IND","RB","$0","RB75",
"Durham Smythe","MIA","TE","$0","TE35",
"Chris Rodriguez","WAS","RB","$0","RB76",
"Marvin Jones","DET","WR","$0","WR94",
"Tyquan Thornton","NE","WR","$0","WR95",
