"Player","Team","Position","Value","Position Rank",
"Justin Jefferson","MIN","WR","$75","WR1",
"Ja'Marr Chase","CIN","WR","$68","WR2",
"Christian McCaffrey","SF","RB","$64","RB1",
"Cooper Kupp","LAR","WR","$60","WR3",
"Austin Ekeler","LAC","RB","$60","RB2",
"Tyreek Hill","MIA","WR","$59","WR4",
"Travis Kelce","KC","TE","$58","TE1",
"Stefon Diggs","BUF","WR","$51","WR5",
"Davante Adams","LV","WR","$50","WR6",
"Bijan Robinson","ATL","RB","$49","RB3",
"Amon-Ra St. Brown","DET","WR","$49","WR7",
"CeeDee Lamb","DAL","WR","$47","WR8",
"Tony Pollard","DAL","RB","$46","RB4",
"A.J. Brown","PHI","WR","$45","WR9",
"Saquon Barkley","NYG","RB","$44","RB5",
"Jaylen Waddle","MIA","WR","$42","WR10",
"Garrett Wilson","NYJ","WR","$41","WR11",
"Nick Chubb","CLE","RB","$40","RB6",
"Derrick Henry","TEN","RB","$38","RB7",
"Mark Andrews","BAL","TE","$37","TE2",
"Tee Higgins","CIN","WR","$36","WR12",
"Chris Olave","NO","WR","$34","WR13",
"Devonta Smith","PHI","WR","$33","WR14",
"Josh Jacobs","LV","RB","$32","RB8",
"Jalen Hurts","PHI","QB","$32","QB1",
"Josh Allen","BUF","QB","$31","QB2",
"Jahmyr Gibbs","DET","RB","$31","RB9",
"Keenan Allen","LAC","WR","$30","WR15",
"Jonathan Taylor","IND","RB","$29","RB10",
"Deebo Samuel","SF","WR","$29","WR16",
"Calvin Ridley","JAX","WR","$28","WR17",
"Rhamondre Stevenson","NE","RB","$28","RB11",
"DeAndre Hopkins","TEN","WR","$27","WR18",
"Patrick Mahomes","KC","QB","$27","QB3",
"DK Metcalf","SEA","WR","$26","WR19",
"Travis Etienne","JAX","RB","$26","RB12",
"Joe Mixon","CIN","RB","$26","RB13",
"T.J. Hockenson","MIN","TE","$26","TE3",
"Amari Cooper","CLE","WR","$25","WR20",
"Mike Williams","LAC","WR","$24","WR21",
"Breece Hall","NYJ","RB","$24","RB14",
"Jerry Jeudy","DEN","WR","$24","WR22",
"Kenneth Walker","SEA","RB","$24","RB15",
"Alexander Mattison","MIN","RB","$23","RB16",
"Aaron Jones","GB","RB","$23","RB17",
"Christian Kirk","JAX","WR","$23","WR23",
"Lamar Jackson","BAL","QB","$22","QB4",
"Najee Harris","PIT","RB","$22","RB18",
"Joe Burrow","CIN","QB","$20","QB5",
"Drake London","ATL","WR","$20","WR24",
"Terry McLaurin","WAS","WR","$19","WR25",
"Chris Godwin","TB","WR","$18","WR26",
"Christian Watson","GB","WR","$18","WR27",
"Darren Waller","NYG","TE","$17","TE4",
"Dameon Pierce","HOU","RB","$17","RB19",
"George Kittle","SF","TE","$16","TE5",
"Marquise Brown","ARI","WR","$16","WR28",
"Diontae Johnson","PIT","WR","$16","WR29",
"Cam Akers","LAR","RB","$15","RB20",
"D.J. Moore","CHI","WR","$15","WR30",
"Brandon Aiyuk","SF","WR","$14","WR31",
"James Cook","BUF","RB","$14","RB21",
"Javonte Williams","DEN","RB","$14","RB22",
"J.K. Dobbins","BAL","RB","$14","RB23",
"Dallas Goedert","PHI","TE","$13","TE6",
"Justin Fields","CHI","QB","$13","QB6",
"Kyle Pitts","ATL","TE","$13","TE7",
"Miles Sanders","CAR","RB","$13","RB24",
"Jaxon Smith-Njigba","SEA","WR","$13","WR32",
"Justin Herbert","LAC","QB","$13","QB7",
"David Montgomery","DET","RB","$12","RB25",
"Jordan Addison","MIN","WR","$12","WR33",
"Tyler Lockett","SEA","WR","$11","WR34",
"Mike Evans","TB","WR","$11","WR35",
"Michael Pittman","IND","WR","$11","WR36",
"Rachaad White","TB","RB","$10","RB26",
"Alvin Kamara","NO","RB","$9","RB27",
"Brandin Cooks","DAL","WR","$9","WR37",
"Dalvin Cook","NYJ","RB","$9","RB28",
"Quentin Johnston","LAC","WR","$8","WR38",
"D'Andre Swift","PHI","RB","$8","RB29",
"Kadarius Toney","KC","WR","$8","WR52",
"Deshaun Watson","CLE","QB","$7","QB8",
"Evan Engram","JAX","TE","$7","TE8",
"George Pickens","PIT","WR","$6","WR39",
"Gabe Davis","BUF","WR","$6","WR41",
"Pat Freiermuth","PIT","TE","$6","TE9",
"Jahan Dotson","WAS","WR","$5","WR40",
"Trevor Lawrence","JAX","QB","$5","QB9",
"Isiah Pacheco","KC","RB","$5","RB30",
"James Conner","ARI","RB","$5","RB31",
"Treylon Burks","TEN","WR","$5","WR42",
"Antonio Gibson","WAS","RB","$5","RB32",
"Rashod Bateman","BAL","WR","$4","WR53",
"Courtland Sutton","DEN","WR","$3","WR43",
"Zay Flowers","BAL","WR","$3","WR44",
"A.J. Dillon","GB","RB","$3","RB33",
"Samaje Perine","DEN","RB","$3","RB34",
"David Njoku","CLE","TE","$3","TE10",
"Zach Charbonnet","SEA","RB","$3","RB35",
"Daniel Jones","NYG","QB","$3","QB10",
"JuJu Smith-Schuster","NE","WR","$3","WR45",
"Jakobi Meyers","LV","WR","$3","WR46",
"Tyler Boyd","CIN","WR","$3","WR47",
"Elijah Moore","CLE","WR","$3","WR48",
"Tua Tagovailoa","MIA","QB","$3","QB11",
"Zay Jones","JAX","WR","$3","WR50",
"Kirk Cousins","MIN","QB","$3","QB12",
"Dalton Schultz","HOU","TE","$3","TE12",
"Rashaad Penny","PHI","RB","$3","RB38",
"Brian Robinson","WAS","RB","$3","RB39",
"Dak Prescott","DAL","QB","$3","QB14",
"Nico Collins","HOU","WR","$3","WR54",
"Allen Lazard","NYJ","WR","$3","WR55",
"De'Von Achane","MIA","RB","$3","RB41",
"Elijah Mitchell","SF","RB","$3","RB42",
"Rondale Moore","ARI","WR","$3","WR64",
"Jaylen Warren","PIT","RB","$2","RB36",
"Skyy Moore","KC","WR","$2","WR49",
"Dalton Kincaid","BUF","TE","$2","TE11",
"Khalil Herbert","CHI","RB","$2","RB37",
"Jerick McKinnon","KC","RB","$2","RB40",
"Anthony Richardson","IND","QB","$2","QB13",
"Tyler Higbee","LAR","TE","$2","TE13",
"Chigoziem Okonkwo","TEN","TE","$2","TE14",
"Tank Bigsby","JAX","RB","$2","RB43",
"Gerald Everett","LAC","TE","$2","TE15",
"Romeo Doubs","GB","WR","$2","WR56",
"Geno Smith","SEA","QB","$2","QB15",
"Darnell Mooney","CHI","WR","$2","WR57",
"Aaron Rodgers","NYJ","QB","$2","QB16",
"Damien Harris","BUF","RB","$2","RB44",
"Odell Beckham","BAL","WR","$2","WR59",
"Marquez Valdes-Scantling","KC","WR","$2","WR61",
"D.J. Chark","CAR","WR","$2","WR62",
"Greg Dulcich","DEN","TE","$2","TE22",
"Adam Thielen","CAR","WR","$2","WR65",
"Tyler Allgeier","ATL","RB","$2","RB48",
"Jonathan Mingo","CAR","WR","$2","WR66",
"Michael Gallup","DAL","WR","$2","WR69",
"Jamaal Williams","NO","RB","$2","RB51",
"Roschon Johnson","CHI","RB","$2","RB52",
"Jameson Williams","DET","WR","$2","WR72",
"Michael Thomas","NO","WR","$1","WR51",
"Sam LaPorta","DET","TE","$1","TE16",
"Irv Smith","CIN","TE","$1","TE17",
"Van Jefferson","LAR","WR","$1","WR58",
"Jake Ferguson","DAL","TE","$1","TE18",
"Raheem Mostert","MIA","RB","$1","RB45",
"Rashee Rice","KC","WR","$1","WR60",
"Tyjae Spears","TEN","RB","$1","RB46",
"Luke Musgrave","GB","TE","$1","TE19",
"Juwan Johnson","NO","TE","$1","TE20",
"Dawson Knox","BUF","TE","$1","TE21",
"K.J. Osborn","MIN","WR","$1","WR63",
"Jeffery Wilson","MIA","RB","$1","RB47",
"Dallas Cowboys","DAL","DST","$1","DST1",
"Devin Singletary","HOU","RB","$1","RB49",
"Kenneth Gainwell","PHI","RB","$1","RB50",
"Hayden Hurst","CAR","TE","$1","TE23",
"Marvin Mims","DEN","WR","$1","WR67",
"Jayden Reed","GB","WR","$1","WR68",
"San Francisco 49ers","SF","DST","$1","DST2",
"Hunter Renfrow","LV","WR","$1","WR70",
"Justin Tucker","BAL","K","$1","K1",
"Philadelphia Eagles","PHI","DST","$1","DST3",
"Leonard Fournette","FA","RB","$1","RB53",
"Cole Kmet","CHI","TE","$1","TE24",
"Jerome Ford","CLE","RB","$1","RB54",
"Curtis Samuel","WAS","WR","$1","WR71",
"Jared Goff","DET","QB","$1","QB17",
"Kendre Miller","NO","RB","$1","RB55",
