"Player","Team","Position","Value","Position Rank",
"Christian McCaffrey","SF","RB","$81","RB1",
"CeeDee Lamb","DAL","WR","$65","WR1",
"Tyreek Hill","MIA","WR","$57","WR2",
"Bijan Robinson","ATL","RB","$54","RB2",
"Breece Hall","NYJ","RB","$51","RB3",
"Justin Jefferson","MIN","WR","$50","WR3",
"Ja'Marr Chase","CIN","WR","$50","WR4",
"Amon-Ra St. Brown","DET","WR","$50","WR5",
"A.J. Brown","PHI","WR","$43","WR6",
"Puka Nacua","LAR","WR","$43","WR7",
"Garrett Wilson","NYJ","WR","$42","WR8",
"Drake London","ATL","WR","$41","WR9","1.08-1.12 drafters should snag London, our overall WR9, on the comeback since it's unlikely he's available in the third round."
"Jonathan Taylor","IND","RB","$36","RB4",
"Jahmyr Gibbs","DET","RB","$35","RB5",
"Marvin Harrison Jr.","ARI","WR","$35","WR10",
"Saquon Barkley","PHI","RB","$33","RB6",
"De'Von Achane","MIA","RB","$33","RB7","A gift at the second/third-round turn if there."
"Kyren Williams","LAR","RB","$32","RB8",
"Jaylen Waddle","MIA","WR","$30","WR11","Do not be afraid to draft him in the early-third round."
"Derrick Henry","BAL","RB","$30","RB9",
"Nico Collins","HOU","WR","$30","WR12",
"Chris Olave","NO","WR","$30","WR13",
"Jalen Hurts","PHI","QB","$29","QB1",
"Deebo Samuel","SF","WR","$29","WR14",
"Brandon Aiyuk","SF","WR","$29","WR15",
"Davante Adams","LV","WR","$29","WR16",
"Cooper Kupp","LAR","WR","$29","WR17",
"Josh Allen","BUF","QB","$29","QB2",
"Malik Nabers","NYG","WR","$28","WR18","Projected to be drafted in the mid-fourth round, we suggest ""reaching"" for Nabers in the third."
"Josh Jacobs","GB","RB","$28","RB10",
"Mike Evans","TB","WR","$28","WR19",
"Devonta Smith","PHI","WR","$28","WR20","A top-30 player worth being ahead of at the third/fourth-round turn."
"Isiah Pacheco","KC","RB","$27","RB11",
"Travis Etienne","JAX","RB","$27","RB12","Much more palatable in the third round."
"Rashee Rice","KC","WR","$27","WR21","Begin eyeing Rice in the sixth round (well ahead of ADP)."
"D.J. Moore","CHI","WR","$26","WR22",
"DK Metcalf","SEA","WR","$26","WR23",
"Sam LaPorta","DET","TE","$25","TE1",
"Tee Higgins","CIN","WR","$25","WR24",
"Stefon Diggs","HOU","WR","$24","WR25",
