"Player","Team","Position","ETR Pos Rank","ETR Rank","NFFC ADP","NFFC POS ADP","ADP Differential",
"Justin Jefferson","MIN","WR","WR1","1","1.1","WR1","0.1",
"Ja'Marr Chase","CIN","WR","WR2","2","2.3","WR2","0.3",
"Tyreek Hill","MIA","WR","WR3","3","3.8","WR3","0.8",
"Christian McCaffrey","SF","RB","RB1","4","3.4","RB1","-0.6",
"Austin Ekeler","LAC","RB","RB2","5","6.3","RB2","1.3",
"Travis Kelce","KC","TE","TE1","6","6.8","TE1","0.8",
"Stefon Diggs","BUF","WR","WR4","7","8.0","WR4","1.0",
"Amon-Ra St. Brown","DET","WR","WR5","8","9.9","WR5","1.9",
"Davante Adams","LV","WR","WR6","9","16.0","WR10","7.0",
"CeeDee Lamb","DAL","WR","WR7","10","10.6","WR6","0.6",
"A.J. Brown","PHI","WR","WR8","11","11.8","WR7","0.8",
"Bijan Robinson","ATL","RB","RB3","12","9.3","RB3","-2.7",
"Garrett Wilson","NYJ","WR","WR9","13","12.3","WR9","-0.7",
"Jaylen Waddle","MIA","WR","WR10","14","20.5","WR12","6.5",
"Tony Pollard","DAL","RB","RB4","15","15.8","RB6","0.8",
"Saquon Barkley","NYG","RB","RB5","16","12.6","RB4","-3.5",
"Cooper Kupp","LAR","WR","WR11","17","12.3","WR8","-4.8",
"Nick Chubb","CLE","RB","RB6","18","14.3","RB5","-3.7",
"Chris Olave","NO","WR","WR12","19","19.8","WR11","0.8",
"Tee Higgins","CIN","WR","WR13","20","25.9","WR15","5.9",
"Patrick Mahomes","KC","QB","QB1","21","19.5","QB1","-1.5",
"Devonta Smith","PHI","WR","WR14","22","22.7","WR13","0.7",
"Derrick Henry","TEN","RB","RB7","23","23.6","RB7","0.6",
"Josh Allen","BUF","QB","QB2","24","23.9","QB2","-0.1",
"Josh Jacobs","LV","RB","RB8","25","23.9","RB8","-1.1",
"Mark Andrews","BAL","TE","TE2","26","33.3","TE2","7.3",
"Keenan Allen","LAC","WR","WR15","27","30.8","WR17","3.8",
"Jalen Hurts","PHI","QB","QB3","28","24.3","QB3","-3.7",
"Calvin Ridley","JAX","WR","WR16","29","23.8","WR14","-5.2",
"Deebo Samuel","SF","WR","WR17","30","34.3","WR18","4.3",
"DK Metcalf","SEA","WR","WR18","31","28.4","WR16","-2.6",
"Jahmyr Gibbs","DET","RB","RB9","32","34.6","RB9","2.6",
"DeAndre Hopkins","TEN","WR","WR19","33","41.8","WR22","8.8",
"Amari Cooper","CLE","WR","WR20","34","36.3","WR19","2.3",
"Joe Burrow","CIN","QB","QB4","35","38.8","QB5","3.8",
"Rhamondre Stevenson","NE","RB","RB10","36","35.1","RB10","-0.9",
"Mike Williams","LAC","WR","WR21","37","50.0","WR24","13.0",
"Travis Etienne","JAX","RB","RB11","38","38.0","RB12","0.0",
"Joe Mixon","CIN","RB","RB12","39","40.7","RB13","1.7",
"Christian Kirk","JAX","WR","WR22","40","56.1","WR28","16.1",
"Drake London","ATL","WR","WR23","41","45.0","WR23","4.0",
"Breece Hall","NYJ","RB","RB13","42","50.2","RB15","8.2",
"Christian Watson","GB","WR","WR24","43","37.9","WR20","-5.1",
"T.J. Hockenson","MIN","TE","TE3","44","50.6","TE4","6.6",
"Lamar Jackson","BAL","QB","QB5","45","38.4","QB4","-6.6",
"Chris Godwin","TB","WR","WR25","46","52.3","WR27","6.3",
"Najee Harris","PIT","RB","RB14","47","36.0","RB11","-11.0",
"Kenneth Walker","SEA","RB","RB15","48","59.6","RB19","11.6",
"Aaron Jones","GB","RB","RB16","49","49.1","RB14","0.1",
"Justin Herbert","LAC","QB","QB6","50","42.0","QB6","-8.0",
"D.J. Moore","CHI","WR","WR26","51","39.5","WR21","-11.6",
"Alexander Mattison","MIN","RB","RB17","52","64.7","RB22","12.7",
"Diontae Johnson","PIT","WR","WR27","53","51.2","WR25","-1.8",
"Brandon Aiyuk","SF","WR","WR28","54","52.2","WR26","-1.8",
"Terry McLaurin","WAS","WR","WR29","55","61.7","WR31","6.7",
"Darren Waller","NYG","TE","TE4","56","49.8","TE3","-6.2",
"Dameon Pierce","HOU","RB","RB18","57","58.3","RB17","1.3",
"Tyler Lockett","SEA","WR","WR30","58","60.8","WR30","2.8",
"Marquise Brown","ARI","WR","WR31","59","84.7","WR41","25.7",
"J.K. Dobbins","BAL","RB","RB19","60","62.1","RB21","2.1",
"Jordan Addison","MIN","WR","WR32","61","74.5","WR37","13.5",
"Michael Pittman","IND","WR","WR33","62","73.2","WR35","11.2",
"Mike Evans","TB","WR","WR34","63","73.6","WR36","10.6",
"George Kittle","SF","TE","TE5","64","70.6","TE5","6.6",
"Jahan Dotson","WAS","WR","WR35","65","63.2","WR32","-1.8",
"Jerry Jeudy","DEN","WR","WR36","66","67.4","WR33","1.3",
"Javonte Williams","DEN","RB","RB20","67","59.6","RB18","-7.4",
"James Cook","BUF","RB","RB21","68","60.2","RB20","-7.8",
"George Pickens","PIT","WR","WR37","69","60.4","WR29","-8.6",
"Jaxon Smith-Njigba","SEA","WR","WR38","70","83.2","WR40","13.2",
"Brandin Cooks","DAL","WR","WR39","71","88.6","WR43","17.6",
"Trevor Lawrence","JAX","QB","QB7","72","52.1","QB7","-19.9",
"Kyle Pitts","ATL","TE","TE6","73","75.1","TE6","2.1",
"Dallas Goedert","PHI","TE","TE7","74","79.3","TE7","5.3",
"Miles Sanders","CAR","RB","RB22","75","73.6","RB24","-1.4",
"Gabe Davis","BUF","WR","WR40","76","71.0","WR34","-5.0",
"Jonathan Taylor","IND","RB","RB23","77","57.2","RB16","-19.8",
"Courtland Sutton","DEN","WR","WR41","78","81.8","WR39","3.8",
"Cam Akers","LAR","RB","RB24","79","76.1","RB25","-2.9",
"David Montgomery","DET","RB","RB25","80","77.4","RB26","-2.6",
"Zay Flowers","BAL","WR","WR42","81","80.2","WR38","-0.8",
"Rachaad White","TB","RB","RB26","82","67.0","RB23","-15.0",
"D'Andre Swift","PHI","RB","RB27","83","83.6","RB30","0.6",
"Quentin Johnston","LAC","WR","WR43","84","100.6","WR48","16.6",
"Alvin Kamara","NO","RB","RB28","85","77.8","RB27","-7.2",
"Justin Fields","CHI","QB","QB8","86","52.6","QB8","-33.4",
"Treylon Burks","TEN","WR","WR44","87","95.3","WR46","8.3",
"Dalvin Cook","NYJ","RB","RB29","88","80.1","RB28","-7.9",
"Skyy Moore","KC","WR","WR45","89","87.8","WR42","-1.2",
"JuJu Smith-Schuster","NE","WR","WR46","90","106.2","WR50","16.2",
"Pat Freiermuth","PIT","TE","TE8","91","107.2","TE9","16.2",
"Isiah Pacheco","KC","RB","RB30","92","85.0","RB31","-7.0",
"Elijah Moore","CLE","WR","WR47","93","90.1","WR44","-2.9",
